date, pm25
2025-02-15,75
2025-02-16,91
2025-02-17,87
2025-02-18,121
2025-02-19,82
2025-02-20,76
2025-02-21,127
2025-02-22,96
2025-02-23,91
2025-02-24,77
2025-02-25,113
2025-02-26,109
2025-02-27,125
2025-02-28,81
2025-03-01,93
2025-03-02,98
2025-03-03,87
2025-03-04,75
2025-03-05,108
2025-03-06,115
2025-03-07,58
2025-03-08,110
2025-03-09,99
2025-03-10,134
2025-03-11,79
2025-03-12,70
2025-03-13,82
2025-03-14,53
2025-03-15,43
2025-03-16,36
2025-03-17,51
2025-03-18,46
2025-03-19,58
2025-03-20,57
2025-03-21,45
2025-03-22,74
2025-03-23,55
2025-03-24,53
2025-03-25,39
2025-03-26,110
2025-03-27,90
2025-03-28,30
2025-03-29,13
2025-03-30,44
2025-03-31,34
2025-04-01,40
2025-04-02,30
2025-04-03,59
2025-04-04,60
2025-04-05,85
2025-04-06,86
2025-04-07,73
2025-04-08,78
2025-04-09,103
2025-04-10,98
2025-04-11,131
2025-04-12,97
2025-04-13,84
2025-04-14,43
2025-04-15,64
2025-04-16,112
2025-04-17,102
2025-04-18,90
2025-04-19,25
2025-04-20,54
2025-04-21,73
2025-04-22,90
2025-04-23,66
2025-04-24,49
2025-04-25,84
2025-04-26,108
2025-04-27,103
2025-04-28,79
2025-04-29,94
2025-04-30,109
2025-05-01,125
2025-05-02,109
2025-05-03,112
2025-05-04,103
2025-05-05,113
2025-05-06,117
2025-05-07,108
2025-05-08,123
2025-05-09,104
2025-05-10,137
2025-05-11,106
2025-05-12,59
2025-05-13,70
2025-05-14,105
2025-05-15,85
